sentiment,issue,urgency,userName,score,comment_preview
负面,应用运行卡顿，严重影响使用体验,4,大别山良民,1,太卡了
负面,购买两年会员后三个月无法使用，平台与苹果互相推诿且拒绝退费，强制扣款,5,shujun520131,1,我买了两年的会员了 从三个月前 就一直加载中 学不了 也不给我退费 强制性扣款 苹果和平台两个都在互相甩锅 一千块当喂狗了
负面,国际象棋对弈最后一步棋子无法移动，只能认输,4,python编程IDE,1,"用了多鄰國很久了，挺好的，就是（國際象棋）和奧斯卡對弈時，到最後一步，棋子就動不了了，怎麼弄都動不了，只有認輸可以用，明明馬上就勝利了！丟。
希望改進這個bug"
正面,用户高度认可该英语学习App，认为功能强大且推荐给他人,1,dtblong,5,非常好用的一个英语学习app，一直在用也推荐给同事，还能学习其他语言，功能强大
正面,用户对软件给予高度评价，认为免费功能足够且付费渠道合理，不理解差评原因,1,山里的猫先森,5,我不理解这么好的软件怎么有人给差评。要免费有免费的用法，人笨需要会员，也不是没有低价充值的渠道。业余学西语，很实用
正面,用户对产品非常满意并主动推荐给朋友,1,awsdefrtgyy,5,非常的好，分享给了很多朋友
正面,用户对边玩边学的学习方式表示满意,1,今天早上八点起床,5,挺不错的，边玩边学
正面,用户建议增加请假功能，以应对生病或没时间打卡的情况,3,dsp-eksan,4,多邻国这款软件真的很好用学各种语言对去外国留学的人提供了帮助但就是有一个建议出一个请假功能有时候自己生病了或者是没时间打卡都会很烦恼所以建议出个请假功能
负面,国际象棋游戏存在卡顿问题，导致用户只能投降,4,我是颗小梨.,4,国际象棋有时候会卡 只能投降了??
负面,用户对商品或服务极度不满，表达愤怒情绪,4,东京的小栗子??,1,气死我了，这个死鸟
正面,用户认为课程有趣且易学，整体评价积极,1,静影儿,5,有趣又易学
负面,三倍经验活动无法进入学习，且单词卡读音卡顿，浪费用户时间,5,H0KK0,2,给了三倍经验点进去无法进入学习就这么耗了25分钟 单词卡读音都卡不进去 学的无语
负面,国际象棋课程在逼和时无弹窗提示，必须认输才能继续，影响用户体验,5,XXHLY,3,多邻国国际象棋课程和奥斯卡对局时逼和后被卡在那里没有弹窗，必须认输才行，快快修，对于我影响太大了
负面,游戏过程中闪退导致进度和数据丢失,5,桃桃大爆炸,1,做到一半闪退，能量和成绩都没了
负面,用户坚持打卡900多天后应用无法打开，怀疑平台故意限制访问,5,笑颜妈妈,2,坚持打卡900多天，终于露出真面目了吗？怎么也打不开了！
正面,用户称赞产品支持40多种语言学习且简单快速,1,winner029,5,他能学习40多种外文语言而且简单又快速，很快就能学习
负面,游戏存在吞宝箱bug，用户多次遭遇该问题且未修复,5,逆未,1,凌晨做完任务就吞宝箱，吞了我六七次了！！这个bug就修不了了是吗？？？？？？
负面,应用在最后一步操作时频繁卡死，导致用户无法完成流程,5,??哼！,1,都是到最后一步就卡死
正面,用户对产品表示满意，但未提供具体反馈,1,冰序集,5,good
